Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹),Brand,Year,Car_Age
Maruti Suzuki Swift Dzire (2012),1.2 Vxi BSIV,PETROL,80000.0,MANUAL,1st Owner,"Pitampura, Delhi",11-07-2021,315000,Maruti,2012.0,10.0
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000,Mg,2019.0,3.0
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000,Mg,2019.0,3.0
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000,Mg,2019.0,3.0
Mg Hector (2019),Sharp DCT Automatic,PETROL,28000.0,AUTOMATIC,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1675000,Mg,2019.0,3.0
Hyundai I20 (2009),2009-2011 1.4 Asta (AT),CNG & HYBRIDS,98000.0,AUTOMATIC,4+ Owner,"Madhuram, Junagadh",01-27-2022,225000,Hyundai,2009.0,13.0
Maruti Suzuki Wagon R (2017),VXI BS IV,PETROL,22464.0,MANUAL,1st Owner,"Sector 38 Noida Golf Course, Noida",01-27-2022,418500,Maruti,2017.0,5.0
Maruti Suzuki Wagon R (2017),VXI BS IV,PETROL,22464.0,MANUAL,1st Owner,"Sector 38 Noida Golf Course, Noida",01-27-2022,418500,Maruti,2017.0,5.0
Tata Zest (2014),Quadrajet 1.3 XMA,DIESEL,62000.0,AUTOMATIC,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000,Tata,2014.0,8.0
Tata Zest (2014),Quadrajet 1.3 XMA,DIESEL,62000.0,AUTOMATIC,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000,Tata,2014.0,8.0
Hyundai I10 (2010),1.2 KAPPA ASTA O,PETROL,50000.0,MANUAL,First Owner,"Shahdara, Delhi",01-13-2022,150000,Hyundai,2010.0,12.0
Toyota Fortuner (2017),2.8 2WD MT,DIESEL,72000.0,MANUAL,1st Owner,"Kathreguppe, Bengaluru",01-27-2022,3200000,Toyota,2017.0,5.0
Maruti Suzuki Alto (2012),Std,PETROL,80000.0,MANUAL,3rd Owner,"Diakkwan, Kolasib",01-27-2022,99999,Maruti,2012.0,10.0
Maruti Suzuki Alto (2012),Std,PETROL,80000.0,MANUAL,3rd Owner,"Diakkwan, Kolasib",01-27-2022,99999,Maruti,2012.0,10.0
Maruti Suzuki Wagon R (2016),LXI CNG,PETROL,142000.0,MANUAL,1st Owner,"Sector 23A, Gurgaon",01-27-2022,222000,Maruti,2016.0,6.0
Hyundai Xcent (2015),1.2 VTVT S,CNG & HYBRIDS,200000.0,MANUAL,2nd Owner,"Mohan Nagar, Ghaziabad",01-27-2022,170000,Hyundai,2015.0,7.0
Mahindra Scorpio (2016),S8 7 Seater,DIESEL,35000.0,MANUAL,1st Owner,"Gurung Basti, Siliguri",01-27-2022,910000,Mahindra,2016.0,6.0
Mahindra Scorpio (2016),S8 7 Seater,DIESEL,35000.0,MANUAL,1st Owner,"Gurung Basti, Siliguri",01-27-2022,910000,Mahindra,2016.0,6.0
Isuzu Mu7 (2014),High BS IV,DIESEL,206167.0,MANUAL,1st Owner,"Goripalayam, Madurai",01-11-2022,850000,Isuzu,2014.0,8.0
Isuzu Mu7 (2014),High BS IV,DIESEL,206167.0,MANUAL,1st Owner,"Goripalayam, Madurai",01-11-2022,850000,Isuzu,2014.0,8.0
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000,Toyota,2012.0,10.0
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000,Toyota,2012.0,10.0
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000,Toyota,2012.0,10.0
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000,Toyota,2012.0,10.0
Toyota Fortuner (2012),2011-2016 4x2 Manual,DIESEL,150000.0,MANUAL,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,965000,Toyota,2012.0,10.0
Hyundai Santro (2019),New,PETROL,6000.0,MANUAL,1st Owner,"Sajan Nagar, Sitamarhi",01-27-2022,350000,Hyundai,2019.0,3.0
Mahindra Bolero Pik-Up (2016),FB 1.7T,DIESEL,160000.0,MANUAL,First Owner,"MIDC Road, Mumbai",01-13-2022,525000,Mahindra,2016.0,6.0
Bmw 3 Series (2011),320d Sedan,DIESEL,85249.0,AUTOMATIC,1st Owner,"Khajaguda, Hyderabad",01-01-2022,985000,Bmw,2011.0,11.0
Bmw 3 Series (2011),320d Sedan,DIESEL,85249.0,AUTOMATIC,1st Owner,"Khajaguda, Hyderabad",01-01-2022,985000,Bmw,2011.0,11.0
Mercedes-Benz M-Class (2015),ML 350 CDI,DIESEL,115000.0,AUTOMATIC,1st Owner,"Maradu, Kochi",01-03-2022,3500000,Mercedes-Benz,2015.0,7.0
Mercedes-Benz M-Class (2015),ML 350 CDI,DIESEL,115000.0,AUTOMATIC,1st Owner,"Maradu, Kochi",01-03-2022,3500000,Mercedes-Benz,2015.0,7.0
Mercedes-Benz M-Class (2015),ML 350 CDI,DIESEL,115000.0,AUTOMATIC,1st Owner,"Maradu, Kochi",01-03-2022,3500000,Mercedes-Benz,2015.0,7.0
Hyundai I10 (2009),2007-2010 Sportz 1.2,PETROL,55000.0,MANUAL,2nd Owner,"Kasaridih, Durg",01-10-2022,180000,Hyundai,2009.0,13.0
Hyundai I10 (2009),2007-2010 Sportz 1.2,PETROL,55000.0,MANUAL,2nd Owner,"Kasaridih, Durg",01-10-2022,180000,Hyundai,2009.0,13.0
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000.0,MANUAL,Fourth Owner,"Najafgarh, Delhi",01-13-2022,85000,Chevrolet,2009.0,13.0
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000.0,MANUAL,Third Owner,"Khed Shivapur, Pune",01-13-2022,49999,Maruti,2004.0,18.0
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000.0,MANUAL,Third Owner,"Khed Shivapur, Pune",01-13-2022,49999,Maruti,2004.0,18.0
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,85000.0,AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000,Mercedes-Benz,2012.0,10.0
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,85000.0,AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000,Mercedes-Benz,2012.0,10.0
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,85000.0,AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000,Mercedes-Benz,2012.0,10.0
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,85000.0,AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000,Mercedes-Benz,2012.0,10.0
Mercedes-Benz E-Class (2012),2013-2015 E250 CDI Avantgrade,DIESEL,85000.0,AUTOMATIC,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,1585000,Mercedes-Benz,2012.0,10.0
Maruti Suzuki 800 (2004),Std MPFi,PETROL,70000.0,MANUAL,Third Owner,"Khed Shivapur, Pune",Maharashtra,49999,Maruti,2004.0,18.0
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000.0,MANUAL,Fourth Owner,"Najafgarh, Delhi",Delhi,85000,Chevrolet,2009.0,13.0
Chevrolet Optra Magnum (2009),1.6 LS Petrol,PETROL,90000.0,MANUAL,Fourth Owner,"Najafgarh, Delhi",Delhi,85000,Chevrolet,2009.0,13.0
Toyota Corolla Altis (2014),1.8 G,PETROL,68790.0,AUTOMATIC,1st Owner,"Bandra West, Mumbai",01-27-2022,850000,Toyota,2014.0,8.0
Toyota Corolla Altis (2014),1.8 G,PETROL,68790.0,AUTOMATIC,1st Owner,"Bandra West, Mumbai",01-27-2022,850000,Toyota,2014.0,8.0
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000,Skoda,2019.0,3.0
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000,Skoda,2019.0,3.0
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000,Skoda,2019.0,3.0
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000,Skoda,2019.0,3.0
Skoda Superb (2019),Style 1.8 TSI AT,PETROL,35000.0,AUTOMATIC,1st Owner,"Andheri West, Mumbai",01-27-2022,2350000,Skoda,2019.0,3.0
Maruti Suzuki Eeco (2019),5 Seater AC,PETROL,17000.0,MANUAL,1st Owner,"Rajarampuri, Kolhapur",01-27-2022,475000,Maruti,2019.0,3.0
Maruti Suzuki Eeco (2019),5 Seater AC,PETROL,17000.0,MANUAL,1st Owner,"Rajarampuri, Kolhapur",01-27-2022,475000,Maruti,2019.0,3.0
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000,Maruti,2017.0,5.0
Maruti Suzuki Zen (2006),VXI,PETROL,95000.0,MANUAL,3rd Owner,"Muvattupuzha, Muvattupuzha",01-27-2022,110000,Maruti,2006.0,16.0
Maruti Suzuki Estilo (2010),LXI,PETROL,18250.0,MANUAL,3rd Owner,"Barackpore, Kolkata",01-27-2022,180000,Maruti,2010.0,12.0
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000,Maruti,2017.0,5.0
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000,Maruti,2017.0,5.0
Maruti Suzuki Zen (2006),VXI,PETROL,95000.0,MANUAL,3rd Owner,"Muvattupuzha, Muvattupuzha",01-27-2022,110000,Maruti,2006.0,16.0
Maruti Suzuki Estilo (2010),LXI,PETROL,18250.0,MANUAL,3rd Owner,"Barackpore, Kolkata",01-27-2022,180000,Maruti,2010.0,12.0
Maruti Suzuki Swift Dzire (2014),VDI,DIESEL,60000.0,MANUAL,1st Owner,"Brahmsthan, Azamgarh",01-27-2022,400000,Maruti,2014.0,8.0
Maruti Suzuki Swift Dzire (2014),VDI,DIESEL,60000.0,MANUAL,1st Owner,"Brahmsthan, Azamgarh",01-27-2022,400000,Maruti,2014.0,8.0
Maruti Suzuki Wagon R Duo (2018),Others,CNG & HYBRIDS,55000.0,MANUAL,1st Owner,"Dahisar East, Mumbai",01-27-2022,465000,Maruti,2018.0,4.0
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000,Maruti,2017.0,5.0
Maruti Suzuki Wagon R 1.0 (2017),1.0 VXi,PETROL,45000.0,AUTOMATIC,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,485000,Maruti,2017.0,5.0
Maruti Suzuki Swift (2010),2004-2010 Lxi BSIII,PETROL,120000.0,MANUAL,Second Owner,"Shashtri Nagar, Delhi",Delhi,200000,Maruti,2010.0,12.0
Maruti Suzuki 800 (1998),Duo AC LPG,PETROL,60000.0,MANUAL,4+ Owner,"Gokul Nagar, Udaipur",01-27-2022,35000,Maruti,1998.0,24.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Volkswagen Vento (2012),1.6 Highline,DIESEL,145000.0,MANUAL,2nd Owner,"Sector 62, Noida",01-27-2022,235000,Volkswagen,2012.0,10.0
Tata Bolt (2015),Quadrajet XM,DIESEL,85000.0,MANUAL,2nd Owner,"Parasakthi Colony, Sivakasi",01-27-2022,350000,Tata,2015.0,7.0
Nissan Sunny (2012),Diesel XV,DIESEL,135000.0,MANUAL,2nd Owner,"Baavi, Medarametla",01-27-2022,380000,Nissan,2012.0,10.0
Ford Fiesta (2013),1.5 TDCi Titanium,DIESEL,64000.0,MANUAL,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000,Ford,2013.0,9.0
Ford Fiesta (2013),1.5 TDCi Titanium,DIESEL,64000.0,MANUAL,#NAME?,"Tilak Nagar, Delhi",01-27-2022,296000,Ford,2013.0,9.0
Maruti Suzuki Swift (2009),2004-2010 Ldi BSIV,DIESEL,200000.0,MANUAL,1st Owner,"Drivers Colony, Bhadrachalam",01-27-2022,175000,Maruti,2009.0,13.0
